Time,Coin,Quantity,Description
2021-08-17 02:00:00,USDT,0.00000914,FTX App Earn
2021-08-17 02:00:00,DOGE,0.06840750,FTX App Earn
2021-08-17 03:00:00,DOGE,0.06840813,FTX App Earn
2021-08-17 03:00:00,USDT,0.00000914,FTX App Earn
2021-08-17 04:00:00,USDT,0.00000914,FTX App Earn
2021-08-17 04:00:00,DOGE,0.06840875,FTX App Earn
2021-08-17 05:00:00,USDT,0.00000914,FTX App Earn
2021-08-17 05:00:00,DOGE,0.06840938,FTX App Earn
2021-08-17 06:00:00,DOGE,0.06841000,FTX App Earn
2021-08-17 06:00:00,USDT,0.00000914,FTX App Earn
2021-08-17 07:00:00,USDT,0.00000914,FTX App Earn
2021-08-17 07:00:00,DOGE,0.06841063,FTX App Earn
2021-08-17 08:00:00,USDT,0.00000914,FTX App Earn
2021-08-17 08:00:00,DOGE,0.06841125,FTX App Earn
2021-08-17 09:00:00,DOGE,0.06841188,FTX App Earn
2021-08-17 09:00:00,USDT,0.00000914,FTX App Earn
2021-08-17 10:00:00,DOGE,0.06841250,FTX App Earn
2021-08-17 10:00:00,USDT,0.00000914,FTX App Earn
2021-08-17 11:00:00,USDT,0.00000914,FTX App Earn
2021-08-17 11:00:00,DOGE,0.06841313,FTX App Earn
2021-08-17 12:00:00,USDT,0.00000914,FTX App Earn
2021-08-17 12:00:00,DOGE,0.06841375,FTX App Earn
2021-08-17 13:00:00,USDT,0.00000914,FTX App Earn
2021-08-17 13:00:00,DOGE,0.06841438,FTX App Earn
2021-08-17 14:00:00,USDT,0.00000914,FTX App Earn
2021-08-17 14:00:00,DOGE,0.06841500,FTX App Earn
2021-08-17 15:00:00,DOGE,0.06841563,FTX App Earn
2021-08-17 15:00:00,USDT,0.00000914,FTX App Earn
2021-08-17 16:00:00,USDT,0.00000914,FTX App Earn
2021-08-17 16:00:00,DOGE,0.06841625,FTX App Earn
2021-08-17 17:00:00,USDT,0.00000914,FTX App Earn
2021-08-17 17:00:00,DOGE,0.06841688,FTX App Earn
2021-08-17 18:00:00,USDT,0.00000914,FTX App Earn
2021-08-17 18:00:00,DOGE,0.06841750,FTX App Earn
2021-08-17 19:00:00,DOGE,0.06841813,FTX App Earn
2021-08-17 19:00:00,USDT,0.00000914,FTX App Earn
2021-08-17 20:00:00,USDT,0.00000914,FTX App Earn
2021-08-17 20:00:00,DOGE,0.06841875,FTX App Earn
2021-08-17 21:00:00,USDT,0.00000914,FTX App Earn
2021-08-17 21:00:00,DOGE,0.06841937,FTX App Earn
2021-08-17 22:00:00,USDT,0.00000914,FTX App Earn
2021-08-17 22:00:00,DOGE,0.06842000,FTX App Earn
2021-08-17 23:00:00,USDT,0.00000914,FTX App Earn
2021-08-17 23:00:00,DOGE,0.06842062,FTX App Earn
2021-08-18 00:00:00,DOGE,0.06842125,FTX App Earn
2021-08-18 00:00:00,USDT,0.00000914,FTX App Earn
2021-08-18 01:00:00,USDT,0.00000915,FTX App Earn
2021-08-18 01:00:00,DOGE,0.06842187,FTX App Earn
2021-08-18 02:00:00,USDT,0.00000915,FTX App Earn
2021-08-18 02:00:00,DOGE,0.06842250,FTX App Earn
2021-08-18 03:00:00,DOGE,0.06842312,FTX App Earn
2021-08-18 03:00:00,USDT,0.00000915,FTX App Earn
2021-08-18 04:00:00,USDT,0.00000915,FTX App Earn
2021-08-18 04:00:00,DOGE,0.06842375,FTX App Earn
2021-08-18 05:00:00,DOGE,0.06842437,FTX App Earn
2021-08-18 05:00:00,USDT,0.00000915,FTX App Earn
2021-08-18 06:00:00,USDT,0.00000915,FTX App Earn
2021-08-18 06:00:00,DOGE,0.06842500,FTX App Earn
2021-08-18 07:00:00,DOGE,0.06842562,FTX App Earn
2021-08-18 07:00:00,USDT,0.00000915,FTX App Earn
2021-08-18 08:00:00,USDT,0.00000915,FTX App Earn
2021-08-18 08:00:00,DOGE,0.06842625,FTX App Earn
2021-08-18 09:00:00,DOGE,0.06842687,FTX App Earn
2021-08-18 09:00:00,USDT,0.00000915,FTX App Earn
2021-08-18 10:00:00,USDT,0.00000915,FTX App Earn
2021-08-18 10:00:00,DOGE,0.06842750,FTX App Earn
2021-08-18 11:00:00,DOGE,0.06842812,FTX App Earn
2021-08-18 11:00:00,USDT,0.00000915,FTX App Earn
2021-08-18 12:00:00,USDT,0.00000915,FTX App Earn
2021-08-18 12:00:00,DOGE,0.06842875,FTX App Earn
2021-08-18 13:00:00,DOGE,0.06842937,FTX App Earn
2021-08-18 13:00:00,USDT,0.00000915,FTX App Earn
2021-08-18 14:00:00,USDT,0.00000915,FTX App Earn
2021-08-18 14:00:00,DOGE,0.06843000,FTX App Earn
2021-08-18 15:00:00,DOGE,0.06843062,FTX App Earn
2021-08-18 15:00:00,USDT,0.00000915,FTX App Earn
2021-08-18 16:00:00,USDT,0.00000915,FTX App Earn
2021-08-18 16:00:00,DOGE,0.06843125,FTX App Earn
